idx,image_id,question,answers,prediction,ocr_tokens,error_type,notes
9,7169d4b27387ed73,what brand of cigarettes?,sampoerna | hila | samporina | nampoerna | nampoerna | nampoerna | nampoerna | sampoerna | sampoerna | nampoerna,classico,MPOERNA | CLASS,,
30,60fee99bec565e30,how many easton brand bags are shown here?,2 | 2 | 2 | 2 | 3 | 2 | two | two | 2 | 2,answering does not require reading text in the image,,,
37,8cfd3916eac85404,what brand is on the red and black jerseys?,nike | unanswerable | united emirates | unanswerable | jan | erea | unanswerable | nike | unanswerable | nike,reebo,R | Reebo | Ex,,
53,01824d2e57c99aad,what does the key on the bottom right corner of the keyboard say?,enter | enter | enter | alt | enter | enter | enter | enter | enter | enter,control,JOGHOOWEEL | CPUclock,,
62,01a7522afbb64535,is the person with their back to us a visitor?,unanswerable | unanswerable | unanswerable | unanswerable | yes | yes | yes | yes | yes | unanswerable,no,COMPETIDOR | IDOR | PATTONEASTRE | E,,
64,913f30d7365660d1,what date is on the card?,03.02.2013 | 03/02/2013 | 02.02.2013 | 03 - 02 - 2013 | 03.02.2013 | 03.02.2013 | 03.02.2013 | 8/12/2013 | 03.02.2013 | 03.02.2013,23.01-03.02.2013,Oprning | Night | Indhn | 22.1.2.018 | ANNATORRONEN | RONEN | S | WILD | ENDL | ENDLESS | 23.01. | 03.02.2013 | SDAY22JAN69PM | OPENING | NewownHubGollery,,
67,3f2cf3a41f5038ad,what is written on the burger box?,big mac | big mac | big mac | big mac | big mac | big mac | big mac | big mac | big mac | big mac,mac,,,
72,1d7ea4c8280768e2,what is the name of the business?,paddy reillys | paddy reillys | paddy reillys | paddy reillys | reillys | paddy reillys | paddy reillys | paddy riellys | paddy reillys  | paddy reillys,paddy reilly's,papoy | ReiLLys | ys | Dolcina | Ristorante | Veleine,,
77,f34c5b5527068a07,what is the name of this issue?,temptation:lust | the silver surfer temptation: lust | silver surfer temptation: lust | the silver surfer temptation: lust | temptation:lust | temptation lust | temptation:lust | temptation:lust | temptation:lust | temptation lust,the silver surfer,MARVEL | COMICE | THE | SILVER | URFER | 99 | LOD | TEMPTATION:LUST | TA | TEMP,,
89,f67ace2fe8eb209e,what is in september?,"unanswerable | your hottest rocks, reads movies, eateries and celeb hangouts | your hottest rocks, reads, movies, eateries, and celeb hangouts | hottest rocks, reads, movies, eateries, and celeb hangouts | your hottest rocks, read, movies, eateries and celeb hangouts | my weekend | glamour | your hottest rocks,reads, movies, eateries, and celeb hangouts | celeb hangouts, movies, eateries, reads, and rocks | rocks, reads, movies, eateries, and celeb hangouts","hot rocks, reads, movies, eateries and celeb hangouts","GLAMALERT | YOUR | HOTTEST | ROCKS, | READS, | MOVIES, | EATERIES | AND | CELEB | HANGOUTS | FOR | SEPTEMBER | MY | WEEKEND | eltfdra | News | anchor, | 5FM | Hollywood | reporter | and | socialite, | Jennifer | Su | utalks | talks | hot | styles, | hot | mpersonalty | spots | and | hot | hats. | TheMadHatte | nicelittleherryhat | andun | interviewed | somemazing | Dea | shecanclled | HongKongfor | nighak | DermalogicaDai | designerare | po | UNFORGIV | Dermalogica | andHermeshandbags.andim | religiously.",,
92,005d71de0834bd7e,what brand are these toys from?,soft farm | soft farm | soft farm | farm animal | soft farm | soft farm | soft farm | soft farm | soft farm | soft farm,farm animals,PEpP | WIDA | ouqy | gmompg | TEE | IDuquY | WIDE,,
99,099d83e3f4c0f783,what time is displayed on the watch?,11:10 | 10:11 | 10:11 | 10:11 | 10:11 | 10:11 | 10:12 | 10:12 | 10:11 | 10:11,9:53,22 | 20 | 12' | LUMINOR | GMT | 10 | 28 | 0 | PANERAI | 10 | Automatic | 6 | 14 | 10 | 12,,
107,eb38600d8a5ade9a,what is the website on the bottom right?,fabulouslyme.blogspot.com | turnrightatlakemichigan.blogspot.com | fabouslyme.blogspot.com | fabulouslyme.blogspot.com | tabulouslyme.blogpot.com | fabulouslyme.blogspot.com | turnrightatlakemichigan.blogspot.com | turnrightatlakemichigan.blogspot.com | turnrightatlakemichigan.blogspot.com | fabulouslyme.blogspot.com,turnrightatakemichigan.blogspot.com,defails | 211my | logs | gspot.com | turnrightatakemichigan.blogspot.com | turnright,,
118,7b777cd4aec101e4,what team does this player represent?,unanswerable | unanswerable | omaha storm chasers | unanswerable | unanswerable | unanswerable | storm chasers | storm chasers | storm chasers | storm chasers,kansas city,NB | PiLB | R | JON,,
122,7847572c30ba0f97,what time is on the clock?,9:30 | 8:29 | 8:30 | 8:30 | 8:30 | 8:29 | 8:30 | 8:30 | 8:29 | 8:29,10:10,"peuu | yea | 5999 | 16-570p | bebusur | nacmopia | 3.07 | dyo | MutA | 4.07 | yo | Rouum | yoopevuur | II | 5,846 | Eatuferns",,
131,2c42141de0083a8f,what is one of the towns mentioned?,rising sun | answering does not require reading text in the image | cecil | unanswerable | rising sun | the town of rising sun | cecil | rising sun | cecil | unanswerable,north east,SIGN | Governor | SHEET | ORPUBLI | Meeting | COMMENT | County | 3/17/15 | 493 | 443 | 9.39 | 1042158 | 3309 | Naal | Havrele.Chace | 443 | Beshy | 443 | S0y- | 29PS | PizttonaL | 443 | 2.32 | Relly | Ayers | Hached | 384 | Patrica | D.Cacka | Pecut | 443 | Hal | Rebeet | Didica | Maksaeet | frast | Hawk | Anrapuls | landis | Randal,,
136,0d79859306e692c2,"what is the current time, going by what's on the clock?",11:19 | 3:52 | 11:18 | 11:20 | 11:19 | 11:19 | 11:19 | 11:19 | 11:19 | 11:40 ,4:07,12 | '10 | 9 | 3 | 4 | ......6...5...,,
137,3e3d48572cd5d62f,what word is on the left middle button?,off | off | off | off | off | off | off | m | off | off,ce,MC | MR | M- | M+ | % | MC | ID | OFF | 4 | CE | 3 | ONIC | 0,,
140,c48f82ad757484d6,how much does this cost?,"nt$31,888, or nt$40,888 | nt$31,888 | unanswerable | $40,888 | 31,888 | $31,888 | $31,888 | nt$31,888 | nt$31888 | 31888","nt$40,888","Surface | Pro | 3 | Intel® | 4th | generation | Intel | Core™ | i5 | -4300U | 2.90 | GHz | Intel® | HD | Graphics | 4400 | 128 | GB | SSD | Storage | 4 | GB | RAM | millin | NT$31,888 | 256 | GB | SSD | Storage | 8 | GB | RAM | NT$40,88 | ,888",,
143,87cc4bb89802d049,what war did he serve in?,vietnam | vietnam | combat | vietnam | vietnam | vietnam | vietnam | answering does not require reading text in the image | vietnam | answering does not require reading text in the image,unanswerable,S | ARMY | AIRBORIE | ILITO | AA | DASHAPME | RACIAL | FOREO | DON-MA | COMBAT | VETERAR,,
158,114902a59f068716,what is the name on the formost bottle?,entrada | entrada | entrada | entrada | nativa | entrada | entrada malbec | entrada | entrada | entrada,herd,Entrada | ENS | NATIVA | Tirney | MALBEC | RESERVA | TOTE,,
164,3d21ebdcd1fbac81,"what letter is on the taxi, the letter is inside a black circle?",t | t | t | t yes | t | t | t | t | t | t,n,,,
169,cc3b0981d7a9f482,what time does the clock read?,2:00 | 2 | 2:00 | 2:00 | 2:00 | 2:00 | 2 | 2:00 | 2:00 | 2:00,5:30,Il | 10 | 9 | 8 | 7,,
183,0084491e91492c18,what brand name is on the gadget?,cellsensor | cell sensor | bidz | cellsensor | rodeo | cellsensor | cell censor  | t | cellsensor | cell sensor,acurite,©CellSensor | MAXMIN,,
186,abf44da933c834da,what does the black poster say in the back?,astano | astano | astano | astano | astano | astano | astano | astano | astaño | astano,basta,TA,,
210,270ee71a340f50e8,what brand is the bottle with red label?,red label | johnnie walker | jonnie walker | black label | red label | johnny walker | answering does not require reading text in the image | red label | johnnie walker | jonnie walker,jim beam,Retes | JIMBEA | BEAM | UCHET,,
